location,population,percent_under_18,percent_18_to_24,Percent_25_to_44,percent_45_to_64,percent_65_and_over,median_age,males_per_100_females,males_per_100_females_18_over
Starke Co.,23556,26.8,8,27.8,23.5,13.9,37,98,95.4
Steuben Co.,33214,25.7,10.4,28.5,23.5,11.9,35.5,102,101.2
Sullivan Co.,21751,22.6,9.4,30.5,23.5,14.1,37.3,115.2,116.3
Switzerland Co.,9065,26.3,8.5,28,24.6,12.6,36.8,101.7,99.2
Tippecanoe Co.,148955,20.9,25.4,27.1,17.4,9.1,27.2,105.4,105.1
Tipton Co.,16577,25,7.2,28.1,25.1,14.5,38.4,95.7,91.6
Union Co.,7349,27.3,7.7,28.5,23.6,12.9,36.5,98.4,93.7
Vanderburgh Co.,171922,23.1,11.5,28.1,22,15.3,36.9,90.2,86.4
Vermillion Co.,16788,23.8,8.1,27.5,24.9,15.8,38.9,95,92
Vigo Co.,105848,22.9,14.3,27.3,21.3,14.2,34.9,96.6,93.8
Wabash Co.,34960,24.5,10.3,26.2,23.3,15.7,37.5,94.2,90.9
Warren Co.,8419,26,6.6,28,25.5,13.9,38.2,102.8,95.7
Warrick Co.,52383,26.9,7.2,29.7,25.5,10.8,37.3,96.6,93.6
Washington Co.,27223,26.5,8.7,29.7,23,12,35.8,100.1,97.2
Wayne Co.,71097,24.2,9.2,27.5,23.4,15.7,37.7,92.4,88.1
Wells Co.,27600,27.3,8.3,28.1,22.2,14.1,36.8,97.3,93.2
White Co.,25267,25.8,7.8,27.8,23.8,14.8,37.6,96.8,93.5
Whitley Co.,30707,26.7,8.1,28.9,23.2,13,36.9,98.5,96
