,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
geo_type,city,city,city,city,city,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county
region,Fort Wayne,Fort Wayne,Indianapolis,Indianapolis,Indianapolis,Adams County,Allen County,Allen County,Bartholomew County,Boone County,Brown County,Carroll County,Cass County,Clark County,Clay County,Clinton County,Daviess County,DeKalb County,Dearborn County,Decatur County,Delaware County,Delaware County,Dubois County,Elkhart County,Floyd County,Fountain County,Franklin County,Fulton County,Gibson County,Grant County,Greene County,Hamilton County,Hamilton County,Hancock County,Harrison County,Hendricks County,Henry County,Howard County,Huntington County,Jackson County,Jasper County,Jay County,Jefferson County,Jennings County,Johnson County,Knox County,Kosciusko County,LaGrange County,LaPorte County,Lake County,Lake County,Lawrence County,Madison County,Marion County,Marion County,Marion County,Marshall County,Miami County,Monroe County,Monroe County,Montgomery County,Morgan County,Newton County,Noble County,Owen County,Porter County,Posey County,Putnam County,Randolph County,Ripley County,Rush County,Scott County,Shelby County,Spencer County,St. Joseph County,St. Joseph County,Starke County,Steuben County,Sullivan County,Tippecanoe County,Tippecanoe County,Tipton County,Vanderburgh County,Vanderburgh County,Vermillion County,Vigo County,Wabash County,Warrick County,Washington County,Wayne County,Wells County,White County,Whitley County
transportation_type,driving,walking,driving,transit,walking,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,transit,walking,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,walking,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving
alternative_name,Ft. Wayne,Ft. Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-region,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana
country,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States
2020-01-13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2020-01-14,104.79,121.84,102.68,96.11,101.95,109.33,105.1,122.45,94.89,105.19,96.24,110.33,107.85,108.32,101.63,98.6,105.89,102.76,95.89,105.0,104.04,114.3,100.13,100.96,94.46,88.74,104.83,104.79,113.65,103.11,101.01,104.58,116.35,96.1,108.97,98.63,109.64,104.26,108.77,107.12,91.95,96.77,100.06,114.53,108.61,96.22,109.7,101.16,105.58,104.89,97.47,103.98,102.67,102.36,95.1,97.98,106.19,103.87,93.71,84.69,112.11,98.68,100.62,105.18,86.27,107.23,98.97,106.16,101.45,109.16,92.57,103.12,101.33,106.56,98.58,136.64,98.92,106.5,109.73,100.86,97.65,105.93,103.86,109.32,100.0,107.4,102.13,99.63,100.28,108.37,106.6,103.85,101.16
2020-01-15,106.52,109.79,105.5,94.9,97.32,104.47,107.17,110.2,93.15,104.07,110.44,106.84,104.41,103.01,99.8,96.52,112.35,99.11,98.15,108.26,105.12,104.06,96.48,100.25,102.0,96.72,103.7,99.55,108.13,99.04,103.79,107.61,109.9,98.41,118.26,101.0,101.01,99.19,119.34,90.93,99.2,90.58,110.22,117.11,106.92,91.43,101.92,108.89,101.74,104.49,95.19,112.43,101.66,105.52,91.57,92.99,103.66,111.18,84.15,49.39,107.32,94.97,98.32,108.96,84.04,108.01,112.17,97.12,109.56,104.09,106.37,93.54,101.95,102.21,97.45,132.08,107.14,102.83,93.4,94.62,68.47,100.37,107.42,106.47,101.41,104.35,102.46,102.72,91.09,104.08,93.04,98.87,103.04
2020-01-16,108.71,119.53,106.26,92.57,100.88,108.94,109.4,119.27,95.19,110.23,98.97,104.9,113.51,104.68,106.62,97.68,115.13,107.25,104.51,105.72,113.7,100.39,110.19,102.11,99.63,95.01,107.09,99.87,124.03,106.41,107.59,109.01,111.28,99.38,124.14,102.08,115.81,102.51,118.61,99.3,107.68,94.17,106.89,110.22,107.93,100.49,111.13,108.7,105.06,108.5,102.87,109.57,105.07,105.87,88.28,98.3,112.48,113.77,86.82,46.71,114.78,101.86,107.33,103.64,99.7,109.21,96.14,105.27,108.49,108.94,97.3,106.18,105.72,122.12,100.85,108.37,110.6,117.04,102.87,96.28,58.14,113.18,107.3,99.75,107.64,111.36,112.7,109.36,108.21,107.11,97.54,101.62,111.93
2020-01-17,126.47,151.74,122.55,99.98,144.5,126.77,127.91,151.68,110.49,131.96,129.07,113.82,119.39,123.74,129.82,133.28,131.31,124.08,136.83,137.51,143.36,126.28,111.1,118.71,108.63,101.57,128.34,116.3,130.41,130.09,125.59,123.92,132.11,108.68,133.15,116.22,123.4,126.67,149.11,120.71,168.08,113.72,131.32,117.69,126.77,109.68,123.97,133.0,137.97,129.98,111.94,111.32,119.48,122.83,94.33,148.15,131.02,135.19,102.44,42.66,122.47,125.09,142.72,124.75,94.88,132.1,119.95,126.35,111.16,131.9,113.32,136.49,128.24,115.03,125.34,128.13,111.03,144.35,114.68,118.21,57.14,129.73,123.19,111.84,119.24,124.74,113.57,127.72,104.42,125.3,117.14,142.24,123.57
2020-01-18,120.48,153.76,113.71,90.05,157.81,105.93,119.97,153.68,106.03,118.39,148.92,121.99,105.87,118.31,121.73,112.72,120.73,102.12,142.98,125.32,124.1,134.98,124.45,88.31,107.32,99.43,140.42,104.08,113.26,107.37,115.6,120.7,146.44,101.53,132.18,114.62,118.25,106.02,117.6,102.0,123.72,102.06,125.32,119.52,124.08,91.1,99.51,91.69,109.63,109.95,114.11,117.87,106.19,110.76,80.73,160.72,99.93,106.77,92.37,31.04,123.37,117.88,107.41,81.5,92.43,114.99,107.55,125.08,102.98,119.99,96.91,111.5,120.14,110.44,108.53,112.32,107.57,104.43,102.69,105.98,29.97,112.97,121.73,125.78,104.13,129.92,103.73,118.62,121.75,110.8,90.54,121.69,96.69
2020-01-19,85.88,88.28,81.33,78.82,86.6,73.28,86.54,88.7,76.16,89.52,110.63,80.53,75.12,87.72,87.94,86.52,72.91,75.64,114.87,95.26,94.68,65.89,69.68,71.38,80.03,78.12,103.06,83.89,80.53,84.45,80.4,87.09,93.15,76.74,97.22,82.98,93.3,78.83,90.93,77.37,105.11,68.43,88.67,85.3,89.05,71.25,78.58,80.82,98.52,88.43,83.25,82.58,77.93,78.64,74.12,84.26,85.59,91.34,70.78,16.93,92.68,80.46,88.61,74.12,65.18,95.12,80.87,91.73,72.55,95.15,101.35,91.84,91.47,76.8,89.34,73.71,72.96,100.54,74.98,84.67,21.5,74.32,81.26,80.86,91.56,97.35,78.03,84.92,82.25,94.08,68.95,96.03,77.26
2020-01-20,98.53,96.48,98.72,93.45,92.14,94.13,99.43,97.1,89.58,111.51,113.55,108.02,102.77,102.2,103.97,108.79,102.63,102.83,123.91,113.21,109.49,79.42,97.85,96.49,92.66,104.56,103.86,94.18,102.57,96.93,105.02,106.7,116.75,93.98,106.92,100.31,101.93,99.34,109.66,94.68,123.9,91.48,110.05,100.91,105.11,86.44,104.13,108.58,106.02,104.76,97.69,90.06,97.38,95.15,87.05,83.85,108.29,105.72,80.59,18.73,115.45,104.91,106.97,94.68,91.46,108.74,107.45,100.97,105.43,115.95,100.97,106.74,104.45,91.0,94.36,92.33,96.11,111.62,93.05,95.15,23.8,111.76,97.43,78.09,118.89,107.23,102.25,97.69,93.82,104.86,92.94,111.19,104.33
2020-01-21,98.52,102.7,100.42,98.23,91.93,114.98,98.84,103.13,86.8,100.69,96.33,103.42,102.94,97.8,95.98,99.73,111.3,103.55,110.28,110.16,101.06,99.9,96.94,101.87,93.57,101.85,102.33,97.15,102.14,95.24,98.5,102.66,106.81,92.84,109.61,96.55,101.86,103.38,114.74,90.66,97.66,94.98,101.05,111.38,102.88,90.55,108.09,109.7,99.18,102.04,97.94,97.32,96.27,100.13,93.63,87.03,106.91,102.63,77.09,31.94,120.3,98.23,97.71,104.26,77.58,100.42,103.04,101.41,105.35,97.68,98.84,90.71,99.13,89.68,93.87,102.78,88.97,106.38,107.21,91.87,50.5,103.05,100.15,92.53,100.44,98.13,106.89,98.96,86.67,102.25,100.61,100.36,105.29
2020-01-22,102.05,100.63,105.09,98.49,94.7,107.77,102.73,101.0,84.7,104.33,101.03,104.23,103.32,101.98,106.72,101.01,105.84,104.72,117.64,103.94,103.42,97.1,103.13,100.55,96.58,81.61,112.24,97.09,103.21,98.19,100.96,104.46,109.78,108.12,110.06,97.83,101.98,99.35,113.67,89.01,101.05,101.35,101.67,107.06,106.63,86.31,110.03,107.34,102.33,103.79,96.03,102.57,104.9,106.04,95.5,90.43,111.07,105.03,76.66,32.71,104.82,98.75,100.09,102.71,75.28,106.18,101.09,109.54,94.65,112.23,99.13,103.97,98.07,94.16,95.99,93.7,100.5,103.7,98.52,89.71,45.0,98.16,105.1,95.47,109.05,108.88,107.58,96.8,104.84,100.04,89.77,96.43,109.98
2020-01-23,103.69,105.83,105.67,92.43,94.32,110.34,104.08,105.7,95.09,108.18,101.13,101.49,111.25,104.48,111.04,107.2,103.83,104.29,105.88,104.53,108.08,91.3,97.39,104.95,99.33,84.89,112.4,102.98,114.37,106.15,100.32,106.11,110.37,97.53,123.77,101.14,110.24,102.28,118.04,107.12,100.85,94.08,111.66,107.64,112.22,98.5,113.85,122.79,103.25,106.28,104.78,109.94,105.68,105.83,87.13,90.0,106.98,113.07,87.36,33.24,120.41,104.32,101.5,101.92,88.94,107.2,97.66,108.4,112.23,110.02,99.81,115.47,106.87,98.45,102.17,107.38,101.08,111.68,91.75,94.64,43.96,110.5,106.45,110.5,104.48,107.56,120.7,102.61,96.49,112.71,99.95,96.39,103.9
2020-01-24,122.4,144.26,122.55,104.68,131.54,128.28,123.36,145.85,109.03,129.35,142.43,123.77,114.44,119.2,120.31,131.18,129.1,119.33,127.57,129.64,136.47,137.87,106.02,121.03,111.22,113.61,124.64,121.41,131.05,128.78,122.92,122.4,135.55,110.14,131.05,116.28,123.45,123.7,134.32,107.49,142.06,102.06,121.32,110.63,131.19,104.56,126.15,128.69,124.21,125.32,118.15,112.99,117.21,122.82,97.67,130.07,131.0,134.88,105.24,33.9,130.37,129.46,135.92,115.24,115.52,123.54,111.2,122.58,123.32,125.0,116.51,131.39,123.26,109.54,125.9,138.85,119.03,134.06,120.33,122.41,50.99,132.67,123.03,126.87,129.35,132.36,111.93,117.39,113.05,127.68,111.05,129.23,120.23
2020-01-25,118.89,135.87,117.7,93.85,166.42,116.32,119.26,137.16,106.91,118.07,136.78,111.52,118.13,116.2,120.1,118.24,107.13,114.22,157.73,125.19,133.01,137.49,106.12,105.71,104.49,103.21,144.04,114.42,152.3,129.01,127.99,123.9,148.81,111.13,135.96,114.47,125.62,118.11,136.21,100.05,114.8,105.11,127.65,115.2,129.96,103.49,117.95,112.58,114.8,118.96,136.55,127.96,117.21,115.66,86.73,172.77,131.17,130.43,100.77,26.73,131.1,121.9,114.47,114.11,96.88,117.5,115.22,126.88,96.56,128.77,110.91,111.05,126.16,126.36,123.83,140.22,114.49,142.91,118.85,108.91,32.9,118.17,138.36,187.57,113.18,128.19,112.83,123.49,121.68,120.67,101.28,109.4,108.86
2020-01-26,79.56,85.2,82.12,78.28,89.1,73.45,80.45,85.52,78.09,88.86,120.41,87.3,82.12,84.6,98.37,90.51,77.07,81.26,105.84,99.92,96.41,74.01,72.16,73.32,73.12,86.81,105.48,84.67,91.3,81.79,91.29,85.15,91.88,77.86,105.07,81.43,92.36,82.76,94.27,86.61,108.27,63.59,86.67,76.41,89.99,79.82,81.56,78.8,99.24,84.93,79.46,76.62,81.14,80.93,73.53,88.11,92.3,105.72,75.61,17.74,99.54,98.66,90.2,76.35,78.99,92.53,77.34,101.36,90.52,94.77,76.35,104.14,92.4,79.67,81.65,68.86,80.82,114.39,91.14,83.21,21.77,85.82,81.09,76.91,94.11,89.72,73.36,85.93,89.75,89.13,71.66,100.28,74.71
2020-01-27,93.94,103.62,94.65,96.11,85.92,93.4,94.42,103.94,83.92,96.51,91.25,99.85,95.55,93.84,92.82,94.54,96.51,94.28,98.17,99.07,97.69,90.72,89.65,97.58,85.57,91.23,93.72,94.63,103.96,94.34,90.33,97.64,96.48,89.22,104.51,93.43,100.58,94.33,101.45,84.04,97.58,92.38,97.39,104.73,95.84,94.59,101.31,101.82,91.65,97.59,95.89,95.5,94.37,93.99,93.71,82.98,104.01,97.83,68.63,27.55,103.77,93.14,97.71,95.85,88.86,98.34,96.14,97.5,102.45,104.15,95.37,85.61,93.77,95.05,88.13,84.62,90.7,96.27,95.22,84.22,36.05,84.61,97.92,97.57,93.85,98.54,98.03,96.26,90.11,96.31,96.78,97.53,98.35
2020-01-28,100.18,104.39,100.79,95.11,92.96,100.11,100.61,104.65,90.91,103.41,100.56,104.98,102.9,101.74,101.07,108.91,103.83,96.88,97.4,103.13,105.13,89.86,98.76,103.08,91.83,93.44,109.1,93.92,107.06,100.57,91.99,102.12,112.71,94.82,112.75,97.03,100.67,104.87,109.07,92.28,96.04,94.17,107.55,108.39,102.42,87.61,102.13,105.82,98.52,98.59,95.52,109.46,100.95,101.13,93.36,88.16,104.98,110.6,74.12,26.33,118.47,96.95,110.68,104.81,94.58,100.43,98.15,96.39,104.82,107.54,104.05,113.48,104.59,85.63,93.1,89.32,95.03,104.64,102.43,85.3,36.4,104.78,102.12,98.32,109.05,101.91,104.51,98.12,89.47,102.15,106.19,95.46,104.93
2020-01-29,100.99,98.07,101.82,98.25,99.55,100.89,101.38,98.72,87.28,104.85,102.63,98.96,110.7,99.24,96.08,96.37,91.86,101.53,96.22,105.63,102.22,90.92,87.89,102.39,92.68,81.97,112.56,93.01,111.09,109.3,95.14,104.13,105.54,94.87,110.58,95.96,108.6,106.09,113.94,91.28,93.72,103.68,104.05,102.82,104.85,91.26,106.34,106.95,100.87,100.54,99.16,92.93,104.28,101.68,95.18,97.76,107.08,112.22,72.26,25.84,111.03,100.26,92.59,102.51,85.82,102.51,95.92,103.22,104.28,116.54,102.32,105.1,100.49,92.25,96.22,82.69,90.56,107.47,93.48,84.34,32.73,102.63,102.11,94.88,91.74,105.11,109.8,94.83,86.18,145.51,94.78,97.04,110.35
2020-01-30,105.28,99.57,103.45,95.81,105.19,107.32,106.01,100.62,91.96,108.76,117.4,102.3,106.5,105.26,103.41,102.47,111.11,108.17,104.74,108.04,107.91,95.27,90.92,108.0,93.41,90.02,122.46,101.23,114.76,98.35,106.57,104.87,116.43,98.48,114.52,99.49,106.82,108.61,110.43,98.05,102.17,102.69,98.56,107.06,105.97,97.03,112.85,116.42,105.31,106.72,108.49,116.9,104.61,103.52,91.89,102.95,104.46,117.4,77.12,26.17,125.64,102.61,103.27,105.36,90.5,110.41,97.39,106.6,100.76,119.83,108.59,116.26,104.7,96.78,100.72,98.17,110.09,110.54,90.1,93.6,34.56,115.91,108.02,112.85,107.56,106.89,112.83,100.63,102.11,108.49,102.05,102.15,108.93
2020-01-31,123.86,137.13,123.39,98.76,132.81,118.78,124.85,137.21,116.61,132.23,122.86,124.29,126.81,121.88,126.21,117.36,122.69,125.36,132.47,140.14,139.33,130.53,112.21,125.84,125.39,110.69,126.65,134.35,129.88,130.59,122.92,128.46,143.11,114.16,130.89,117.84,123.62,122.47,141.26,118.51,126.26,103.14,127.37,129.57,130.98,107.04,128.21,136.37,127.4,128.02,126.75,124.24,126.92,121.99,93.55,129.81,132.53,140.72,100.96,30.93,140.56,131.29,129.92,119.7,106.01,127.01,116.79,127.52,125.46,136.21,124.13,122.32,132.23,113.0,124.48,136.97,117.59,129.96,111.82,115.69,39.71,133.93,126.53,125.36,133.66,140.42,125.0,118.69,112.49,126.61,119.08,123.35,111.17
2020-02-01,123.73,136.21,121.24,113.89,153.94,118.73,124.66,139.2,108.7,120.45,197.74,117.61,120.86,124.0,118.58,120.01,125.08,116.78,160.84,138.19,145.49,137.68,107.49,114.65,109.71,116.54,139.37,115.59,139.14,132.26,121.1,133.54,149.33,123.53,135.36,119.18,129.57,120.93,147.25,103.55,116.47,102.51,128.93,131.98,135.39,106.88,114.28,124.38,130.95,124.76,134.46,116.34,128.08,116.51,106.96,155.03,129.61,131.48,97.68,23.18,137.02,122.72,106.27,124.06,107.65,127.89,118.91,130.71,107.49,126.02,110.04,118.13,135.95,115.21,122.92,126.48,116.94,139.39,115.99,111.23,33.94,120.22,129.49,135.01,127.33,130.69,124.06,122.49,130.95,120.67,110.08,119.66,118.71
2020-02-02,82.23,94.21,81.73,76.86,93.24,76.69,82.95,95.06,74.36,90.48,133.11,86.63,82.29,90.59,90.48,85.42,76.54,72.98,105.84,96.27,96.44,76.23,71.9,70.11,75.28,82.18,103.46,86.87,88.13,88.21,89.16,85.91,109.58,79.07,98.27,83.32,86.33,83.11,94.3,75.37,104.21,66.19,93.45,80.48,91.86,69.72,84.19,81.09,99.76,92.79,103.93,82.2,81.8,79.34,72.46,87.86,87.25,97.72,74.41,17.67,92.51,86.58,94.35,81.63,73.35,95.36,86.41,93.7,80.12,88.42,84.56,90.65,87.06,77.64,82.24,87.86,78.01,96.99,84.54,86.37,25.1,87.76,85.45,100.17,90.51,98.35,83.52,89.52,76.91,88.94,74.94,95.18,74.68
2020-02-03,95.6,107.23,96.49,97.81,96.68,93.57,95.81,107.74,85.7,101.22,107.9,101.71,103.48,99.43,100.41,98.81,104.64,97.91,96.39,100.76,99.75,82.51,93.16,97.85,88.87,92.73,99.28,111.9,103.92,101.37,94.6,97.01,107.96,93.08,109.09,93.02,104.0,102.45,103.28,90.06,95.96,88.34,111.94,110.3,97.59,90.55,103.45,104.35,100.51,100.94,97.32,102.38,97.25,96.77,95.02,93.8,107.38,98.72,70.82,25.12,104.12,94.68,104.06,101.0,86.41,101.22,97.23,97.17,99.08,110.29,104.25,104.36,95.72,86.58,90.1,93.65,94.81,104.55,91.4,86.14,32.77,107.3,102.47,112.93,91.21,101.75,103.03,95.25,92.84,98.72,102.15,99.92,98.84
2020-02-04,102.32,109.35,102.05,98.51,89.08,103.91,102.59,109.25,91.32,107.16,102.82,108.17,114.6,99.71,114.2,98.08,97.18,103.32,95.68,108.26,102.54,89.66,101.07,103.91,93.35,88.31,109.18,97.28,105.42,103.66,100.69,102.05,107.28,98.79,111.83,95.55,99.08,105.4,108.03,87.03,97.23,92.65,102.5,111.38,99.43,89.24,103.16,113.24,103.33,102.82,91.11,100.93,104.73,103.04,95.96,83.76,116.66,105.49,69.73,21.04,109.7,91.84,101.94,108.86,81.89,104.11,105.11,97.45,101.68,105.55,98.55,97.79,96.06,96.9,94.09,89.98,107.79,101.9,93.22,89.75,34.75,109.19,101.89,94.37,112.39,104.69,106.76,92.72,101.68,105.28,109.72,98.01,97.12
2020-02-05,101.76,110.27,101.97,100.56,85.22,107.43,102.31,111.2,87.66,103.36,126.62,104.83,113.09,101.64,97.2,106.99,100.0,99.03,97.26,100.51,106.12,87.63,99.48,106.28,94.44,82.54,107.57,84.41,98.65,100.59,103.85,100.42,97.66,93.63,108.93,93.5,98.72,95.82,109.24,93.31,100.27,105.65,101.55,102.91,102.34,88.14,104.81,110.36,102.68,115.04,93.72,95.27,100.6,103.55,97.19,81.17,100.32,99.88,70.56,21.18,106.24,94.25,102.12,98.94,80.55,107.53,97.39,100.69,100.84,112.45,99.81,100.11,94.75,93.08,97.44,93.37,97.12,107.41,96.7,91.11,30.62,102.0,105.84,96.39,89.89,106.64,92.83,99.46,99.72,105.14,96.06,95.54,95.97
2020-02-06,96.15,100.82,102.85,98.11,88.67,93.68,96.42,101.52,102.26,103.16,95.67,98.66,99.75,105.19,98.22,91.61,98.28,93.51,101.6,105.67,102.13,86.67,105.34,99.5,96.14,78.83,96.14,85.96,114.62,95.26,100.16,104.15,94.06,101.5,109.94,98.82,101.66,93.96,104.73,96.93,100.67,82.51,122.54,96.59,108.33,96.15,98.76,100.47,101.44,109.68,96.07,100.26,99.4,102.49,94.92,84.09,100.35,93.54,76.77,23.49,103.72,99.82,89.14,93.75,74.54,106.72,102.28,104.02,98.24,107.49,94.5,108.61,101.57,100.3,101.52,106.96,98.05,100.54,92.62,84.05,31.32,93.43,106.46,101.43,91.48,110.77,95.2,100.52,94.67,106.91,82.81,95.26,98.64
2020-02-07,119.32,127.87,119.07,106.34,121.61,119.96,119.57,128.71,102.92,124.96,128.5,134.4,134.66,118.22,130.74,123.03,125.28,110.37,145.39,129.68,131.49,117.0,116.22,114.95,98.59,105.06,128.66,117.92,140.61,124.97,131.84,119.61,127.04,110.38,125.14,113.49,119.98,122.51,130.95,107.59,130.35,107.62,118.27,111.96,126.5,112.48,124.46,124.38,123.09,122.87,124.5,113.1,116.65,119.22,103.51,119.4,124.44,134.88,103.63,30.19,127.32,122.82,120.56,113.22,116.41,125.14,113.1,128.46,116.13,136.69,107.63,116.71,120.4,117.41,125.06,154.14,118.39,123.97,123.81,115.25,39.84,131.88,117.83,107.64,131.81,139.45,129.43,120.1,106.25,127.7,104.25,125.01,111.11
2020-02-08,124.52,150.24,119.77,101.54,153.79,115.87,124.39,150.21,98.74,126.18,204.7,133.66,140.66,121.59,124.63,114.55,117.76,116.27,171.0,143.99,135.26,146.96,115.37,107.97,103.13,114.11,131.96,127.04,131.69,130.67,138.89,125.65,150.71,111.3,133.91,118.47,123.91,123.85,143.71,100.4,123.95,111.93,118.71,107.64,134.84,99.8,123.02,126.79,131.55,122.81,125.5,119.69,120.74,116.83,94.57,155.56,131.54,157.77,112.59,31.4,132.32,131.73,123.21,113.29,104.23,125.98,109.57,122.11,118.12,146.17,109.17,108.9,130.51,115.44,129.72,141.67,127.83,140.71,98.44,111.54,31.44,138.71,120.16,118.89,119.68,129.26,126.52,144.02,121.05,118.72,103.32,125.37,112.56
2020-02-09,81.09,79.75,87.05,83.01,113.74,72.83,82.01,80.68,86.69,102.66,146.75,96.21,92.03,88.78,102.24,100.52,84.73,80.59,116.72,111.05,96.72,64.25,78.61,71.06,72.46,92.52,117.07,94.11,95.08,93.79,94.18,87.9,86.98,82.44,103.78,86.12,98.55,84.28,99.5,89.06,113.85,70.4,94.89,84.63,102.76,73.4,84.98,78.07,99.2,89.48,82.44,85.07,86.25,85.83,77.33,121.24,100.87,110.71,78.47,14.81,106.91,99.05,93.56,72.74,72.68,96.88,89.78,100.92,87.23,108.67,87.16,105.95,98.27,86.52,83.32,67.22,90.41,108.19,73.85,93.16,20.0,98.58,81.59,65.58,102.99,102.63,85.08,106.72,92.21,90.78,77.08,110.26,78.94
2020-02-10,99.35,108.0,102.29,102.19,95.65,103.41,99.83,108.83,92.55,106.14,106.49,106.24,100.29,105.57,102.65,106.35,107.28,102.76,99.65,113.42,102.52,78.55,93.55,101.71,97.57,108.84,105.07,102.33,107.31,110.37,105.88,101.28,103.52,96.35,119.67,100.79,99.37,105.64,107.86,97.0,101.94,112.74,100.0,95.85,104.93,88.69,109.72,111.84,105.34,104.37,101.54,99.37,105.12,102.73,101.77,91.9,109.28,106.3,70.04,18.68,112.83,96.85,110.15,98.21,94.36,104.62,102.99,106.55,115.52,110.13,102.99,105.1,102.11,91.41,95.94,87.54,105.12,108.97,94.09,91.98,33.33,107.62,101.0,111.34,97.89,103.7,106.11,97.17,88.49,104.73,110.28,107.94,103.24
2020-02-11,107.43,106.41,107.24,101.05,98.66,112.52,107.68,106.74,92.04,111.31,103.57,115.68,115.32,106.86,104.43,110.25,107.08,107.35,104.05,117.57,111.06,91.11,100.55,106.9,103.78,110.26,102.82,109.51,116.93,110.81,110.47,107.76,119.91,98.99,122.49,102.3,108.56,109.78,120.64,100.07,102.52,107.98,111.16,115.2,109.19,93.71,114.39,105.55,105.17,108.79,100.29,107.07,112.9,107.79,97.24,93.06,120.65,111.37,74.97,22.04,123.23,101.74,114.47,108.93,100.59,108.68,96.09,106.66,114.3,107.17,110.23,114.67,101.37,99.94,100.22,88.33,99.71,107.86,104.95,98.66,32.21,95.69,107.35,88.58,103.69,115.05,112.05,100.24,92.42,105.98,101.69,110.42,112.93
2020-02-12,104.81,113.55,104.61,97.48,96.35,107.94,106.12,113.95,100.79,107.63,106.11,99.63,99.75,112.92,101.27,96.49,96.36,102.73,97.13,104.15,102.85,87.05,100.46,107.63,107.16,82.39,103.78,107.57,107.31,103.02,102.19,103.34,99.33,96.1,127.67,97.08,101.49,100.7,112.52,102.85,104.01,106.01,109.66,111.46,106.71,98.76,105.04,112.31,116.3,109.04,98.97,95.57,97.99,106.02,95.32,94.07,105.92,105.22,74.35,18.82,122.5,95.44,111.21,104.26,85.15,111.09,97.07,106.32,96.64,111.64,96.81,115.18,103.63,104.83,101.94,96.0,96.25,107.11,95.22,87.3,30.2,97.37,105.0,93.87,99.91,109.97,105.57,101.99,95.51,111.12,98.41,95.1,100.13
