date,sub_region_2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-03-06,Fountain County,119,98,,,103,
2020-03-06,Franklin County,103,95,,,104,
2020-03-06,Fulton County,104,114,,106,99,
2020-03-06,Gibson County,113,100,,105,106,100
2020-03-06,Grant County,108,99,,109,103,99
2020-03-06,Greene County,108,96,,,100,99
2020-03-06,Hamilton County,104,106,100,,101,101
2020-03-06,Hancock County,101,127,,100,101,100
2020-03-06,Harrison County,108,95,,,101,100
2020-03-06,Hendricks County,103,106,,114,102,100
2020-03-06,Henry County,100,99,,105,101,100
2020-03-06,Howard County,105,97,,,101,101
2020-03-06,Huntington County,104,96,,,101,100
2020-03-06,Jackson County,106,103,,102,99,101
2020-03-06,Jasper County,104,96,,116,102,99
2020-03-06,Jay County,96,95,,,101,
2020-03-06,Jefferson County,104,103,,,104,100
2020-03-06,Jennings County,104,102,,,101,100
2020-03-06,Johnson County,104,111,,125,102,100
2020-03-06,Knox County,108,106,,,103,100
2020-03-06,Kosciusko County,104,100,,,100,100
2020-03-06,LaGrange County,108,104,,109,107,101
2020-03-06,Lake County,105,98,104,112,102,100
2020-03-06,LaPorte County,103,95,104,116,102,100
2020-03-06,Lawrence County,107,100,,,101,101
2020-03-06,Madison County,103,108,,105,101,100
2020-03-06,Marion County,103,99,102,101,101,100
2020-03-06,Marshall County,104,101,,112,101,100
2020-03-06,Martin County,113,104,,,103,
2020-03-06,Miami County,101,97,,,100,99
2020-03-06,Monroe County,108,107,104,103,102,99
2020-03-06,Montgomery County,109,98,,,100,100
2020-03-06,Morgan County,106,108,,,99,100
2020-03-06,Newton County,110,,,,101,
2020-03-06,Noble County,106,99,,,103,99
2020-03-06,Orange County,100,111,,,101,
2020-03-06,Owen County,113,100,,,105,
2020-03-06,Parke County,120,108,,,98,
2020-03-06,Perry County,104,106,,,104,
2020-03-06,Pike County,,110,,,111,
2020-03-06,Porter County,102,95,137,104,101,100
2020-03-06,Posey County,104,103,,,104,
2020-03-06,Pulaski County,108,100,,,108,
2020-03-06,Putnam County,107,88,,,101,100
2020-03-06,Randolph County,107,108,,,101,102
2020-03-06,Ripley County,105,96,,,102,100
2020-03-06,Rush County,96,103,,,102,
2020-03-06,Scott County,105,102,,,101,
2020-03-06,Shelby County,105,101,,109,102,101
2020-03-06,Spencer County,114,121,,,104,
2020-03-06,St. Joseph County,106,99,109,112,101,100
2020-03-06,Starke County,115,97,,,105,
2020-03-06,Steuben County,102,95,,108,101,100
2020-03-06,Sullivan County,106,99,,,106,
2020-03-06,Switzerland County,,88,,,113,
2020-03-06,Tippecanoe County,107,103,84,100,103,100
2020-03-06,Tipton County,106,95,,,98,
2020-03-06,Union County,,,,,106,
2020-03-06,Vanderburgh County,113,110,,,101,99
2020-03-06,Vermillion County,112,102,,97,99,
2020-03-06,Vigo County,111,106,,114,98,99
2020-03-06,Wabash County,113,99,,,101,100
2020-03-06,Warren County,,,,,105,
2020-03-06,Warrick County,109,103,,,103,100
2020-03-06,Washington County,106,99,,,101,100
2020-03-06,Wayne County,103,93,,107,100,101
2020-03-06,Wells County,103,99,,,104,99
2020-03-06,White County,104,105,,118,100,99
2020-03-06,Whitley County,102,101,,,101,100
2020-03-07,,118,113,185,119,105,97
2020-03-07,Adams County,113,103,,,102,
2020-03-07,Allen County,116,112,187,119,104,97
2020-03-07,Bartholomew County,120,114,,,101,97
2020-03-07,Blackford County,133,109,,,,
2020-03-07,Boone County,126,115,,123,103,
2020-03-07,Brown County,251,129,,,116,
2020-03-07,Carroll County,142,109,,,112,
2020-03-07,Cass County,123,114,,,111,
2020-03-07,Clark County,115,125,,115,109,97
2020-03-07,Clay County,125,111,,116,98,
2020-03-07,Clinton County,115,114,,,109,
2020-03-07,Crawford County,,,,112,,
2020-03-07,Daviess County,114,121,,,104,
2020-03-07,Dearborn County,121,125,,,103,
2020-03-07,Decatur County,123,108,,123,112,
2020-03-07,DeKalb County,118,124,,,111,
2020-03-07,Delaware County,115,106,,134,103,97
2020-03-07,Dubois County,109,109,,,95,
2020-03-07,Elkhart County,123,105,,117,104,96
2020-03-07,Fayette County,127,108,,,109,
2020-03-07,Floyd County,118,115,,,105,97
2020-03-07,Fountain County,143,112,,,,
2020-03-07,Franklin County,169,123,,,109,
2020-03-07,Fulton County,131,141,,,106,
2020-03-07,Gibson County,119,109,,106,105,
2020-03-07,Grant County,123,108,,131,108,96
2020-03-07,Greene County,120,116,,,100,
2020-03-07,Hamilton County,117,113,232,,104,97
2020-03-07,Hancock County,114,160,,101,107,97
2020-03-07,Harrison County,112,112,,,104,
2020-03-07,Hendricks County,115,114,,113,104,98
2020-03-07,Henry County,119,116,,108,105,
2020-03-07,Howard County,112,114,,,104,96
2020-03-07,Huntington County,123,103,,,106,
2020-03-07,Jackson County,121,116,,,99,97
2020-03-07,Jasper County,117,115,,121,105,
2020-03-07,Jay County,111,115,,,103,
2020-03-07,Jefferson County,123,115,,,110,
2020-03-07,Jennings County,115,115,,,106,
2020-03-07,Johnson County,120,124,,118,104,97
2020-03-07,Knox County,119,115,,,103,
2020-03-07,Kosciusko County,121,115,,,101,96
2020-03-07,LaGrange County,126,125,,108,113,
2020-03-07,Lake County,121,113,153,127,105,97
2020-03-07,LaPorte County,130,115,,129,107,97
2020-03-07,Lawrence County,119,107,,,104,
2020-03-07,Madison County,124,125,,116,104,97
2020-03-07,Marion County,115,108,178,112,105,97
2020-03-07,Marshall County,130,114,,124,109,
2020-03-07,Martin County,127,111,,,,
2020-03-07,Miami County,135,110,,,103,
2020-03-07,Monroe County,119,123,,115,108,97
2020-03-07,Montgomery County,135,118,,,105,
2020-03-07,Morgan County,118,126,,,103,97
2020-03-07,Newton County,124,,,,112,
2020-03-07,Noble County,126,121,,,108,
2020-03-07,Orange County,121,135,,,106,
2020-03-07,Owen County,148,130,,,110,
2020-03-07,Parke County,,122,,,,
2020-03-07,Perry County,111,,,,98,
2020-03-07,Pike County,,112,,,,
2020-03-07,Porter County,115,112,291,126,108,96
2020-03-07,Posey County,122,103,,,101,
2020-03-07,Pulaski County,130,,,,,
2020-03-07,Putnam County,121,110,,,115,
2020-03-07,Randolph County,126,118,,,105,
2020-03-07,Ripley County,115,113,,,103,
2020-03-07,Rush County,133,116,,,97,
2020-03-07,Scott County,125,105,,,107,
2020-03-07,Shelby County,117,114,,121,107,
2020-03-07,Spencer County,138,127,,,105,
2020-03-07,St. Joseph County,124,115,193,113,104,97
2020-03-07,Starke County,140,107,,,112,
2020-03-07,Steuben County,115,114,,128,104,
2020-03-07,Sullivan County,124,104,,,116,
2020-03-07,Switzerland County,,112,,,,
2020-03-07,Tippecanoe County,121,114,,133,119,96
2020-03-07,Tipton County,150,115,,,112,
2020-03-07,Vanderburgh County,114,114,,,105,97
2020-03-07,Vermillion County,116,106,,,102,
2020-03-07,Vigo County,120,116,,127,102,96
2020-03-07,Wabash County,125,105,,,110,
2020-03-07,Warrick County,114,120,,,106,
2020-03-07,Washington County,119,121,,,108,
2020-03-07,Wayne County,118,103,,114,103,98
2020-03-07,Wells County,121,101,,,115,
2020-03-07,White County,117,156,,,95,
2020-03-07,Whitley County,118,113,,,104,
2020-03-08,,115,112,261,117,103,98
2020-03-08,Adams County,113,,,,104,
2020-03-08,Allen County,116,111,,110,103,98
2020-03-08,Bartholomew County,117,107,,160,106,98
2020-03-08,Blackford County,,119,,,,
2020-03-08,Boone County,115,114,,128,98,
2020-03-08,Brown County,,120,,,,
2020-03-08,Carroll County,,116,,,96,
2020-03-08,Cass County,121,114,,,107,
2020-03-08,Clark County,112,124,268,131,108,98
2020-03-08,Clay County,124,116,,135,101,
2020-03-08,Clinton County,128,118,,,101,
2020-03-08,Crawford County,,,,108,,
2020-03-08,Daviess County,111,122,,,101,
2020-03-08,Dearborn County,119,120,,,100,
2020-03-08,Decatur County,123,126,,125,103,
2020-03-08,DeKalb County,114,127,,,101,
2020-03-08,Delaware County,116,108,,133,103,96
2020-03-08,Dubois County,118,111,,,104,
2020-03-08,Elkhart County,125,106,,126,103,97
2020-03-08,Fayette County,117,113,,,102,
2020-03-08,Floyd County,112,111,,,104,98
2020-03-08,Fountain County,115,122,,,,
2020-03-08,Franklin County,182,109,,,106,
2020-03-08,Fulton County,134,125,,,106,
2020-03-08,Gibson County,119,111,,116,107,
2020-03-08,Grant County,121,111,,123,110,97
2020-03-08,Greene County,123,112,,,99,
2020-03-08,Hamilton County,111,107,,,99,99
2020-03-08,Hancock County,118,166,,112,103,
2020-03-08,Harrison County,116,112,,,105,
2020-03-08,Hendricks County,111,111,,120,103,98
2020-03-08,Henry County,121,121,,112,106,
2020-03-08,Howard County,113,109,,,102,98
2020-03-08,Huntington County,129,114,,,100,
2020-03-08,Jackson County,117,115,,,99,
2020-03-08,Jasper County,129,124,,129,99,
2020-03-08,Jay County,130,111,,,105,
2020-03-08,Jefferson County,120,115,,,102,
2020-03-08,Jennings County,128,111,,,99,
2020-03-08,Johnson County,116,115,,120,101,98
2020-03-08,Knox County,122,110,,,96,
2020-03-08,Kosciusko County,121,121,,,102,97
2020-03-08,LaGrange County,127,120,,125,104,
2020-03-08,Lake County,118,113,193,122,103,97
2020-03-08,LaPorte County,131,117,,126,104,98
2020-03-08,Lawrence County,119,105,,,104,
2020-03-08,Madison County,120,125,,113,103,98
2020-03-08,Marion County,111,105,261,104,102,98
2020-03-08,Marshall County,124,114,,132,109,
2020-03-08,Martin County,,102,,,,
2020-03-08,Miami County,135,106,,,106,
2020-03-08,Monroe County,115,111,,97,104,99
2020-03-08,Montgomery County,121,122,,,97,
2020-03-08,Morgan County,118,128,,,103,98
2020-03-08,Newton County,132,,,,,
2020-03-08,Noble County,124,127,,,106,
2020-03-08,Orange County,118,126,,,107,
2020-03-08,Owen County,139,125,,,102,
2020-03-08,Parke County,,137,,,,
2020-03-08,Perry County,117,,,,98,
2020-03-08,Porter County,122,111,,123,102,98
2020-03-08,Posey County,123,,,,100,
2020-03-08,Pulaski County,140,,,,,
2020-03-08,Putnam County,125,109,,,105,
2020-03-08,Randolph County,125,108,,,108,
2020-03-08,Ripley County,144,113,,,109,
2020-03-08,Rush County,131,118,,,98,
2020-03-08,Scott County,132,125,,,107,
2020-03-08,Shelby County,117,116,,115,104,
2020-03-08,Spencer County,114,131,,,,
2020-03-08,St. Joseph County,118,111,308,117,105,97
2020-03-08,Starke County,145,125,,,110,
2020-03-08,Steuben County,117,117,,125,101,
2020-03-08,Sullivan County,133,104,,,112,
2020-03-08,Tippecanoe County,111,108,,127,107,98
2020-03-08,Tipton County,128,108,,,,
2020-03-08,Vanderburgh County,115,114,,,104,98
2020-03-08,Vermillion County,123,110,,,,
2020-03-08,Vigo County,120,114,,115,104,97
2020-03-08,Wabash County,121,108,,,109,
2020-03-08,Warrick County,110,110,,,105,
2020-03-08,Washington County,119,112,,,104,
2020-03-08,Wayne County,120,101,,111,99,99
2020-03-08,Wells County,121,121,,,102,
2020-03-08,White County,126,134,,,101,
2020-03-08,Whitley County,115,124,,,103,
2020-03-09,,107,106,124,105,101,100
2020-03-09,Adams County,104,110,,,103,100
2020-03-09,Allen County,106,105,130,105,102,100
2020-03-09,Bartholomew County,108,103,,132,101,100
2020-03-09,Benton County,,,,,96,
2020-03-09,Blackford County,121,103,,,105,
2020-03-09,Boone County,106,104,,114,101,101
2020-03-09,Brown County,127,102,,,102,
2020-03-09,Carroll County,117,129,,,105,
2020-03-09,Cass County,112,106,,,103,99
2020-03-09,Clark County,107,124,148,106,102,100
2020-03-09,Clay County,110,93,,121,101,100
2020-03-09,Clinton County,106,99,,,104,100
2020-03-09,Crawford County,,,,101,106,
2020-03-09,Daviess County,105,108,,,105,100
2020-03-09,Dearborn County,113,113,,,102,101
2020-03-09,Decatur County,119,108,,116,90,103
2020-03-09,DeKalb County,105,122,,,105,99
2020-03-09,Delaware County,105,103,,114,101,100
2020-03-09,Dubois County,106,105,,,103,100
2020-03-09,Elkhart County,113,98,125,107,104,99
2020-03-09,Fayette County,116,113,,,103,101
2020-03-09,Floyd County,108,114,,,100,100
2020-03-09,Fountain County,114,106,,,100,
2020-03-09,Franklin County,114,107,,,102,
2020-03-09,Fulton County,114,110,,,103,
2020-03-09,Gibson County,112,102,,107,105,100
2020-03-09,Grant County,112,107,,107,104,100
2020-03-09,Greene County,111,106,,,103,100
2020-03-09,Hamilton County,103,105,126,,99,101
2020-03-09,Hancock County,108,136,,106,100,100
2020-03-09,Harrison County,107,108,,,103,99
2020-03-09,Hendricks County,104,113,,116,95,102
2020-03-09,Henry County,112,111,,101,101,100
2020-03-09,Howard County,106,106,,,101,100
2020-03-09,Huntington County,113,112,,,102,99
2020-03-09,Jackson County,113,110,,,99,100
2020-03-09,Jasper County,107,103,,104,100,100
2020-03-09,Jay County,106,107,,,102,
2020-03-09,Jefferson County,111,121,,,105,100
2020-03-09,Jennings County,118,111,,,102,100
2020-03-09,Johnson County,111,115,,104,100,100
2020-03-09,Knox County,110,105,,,99,101
2020-03-09,Kosciusko County,108,112,,,101,99
2020-03-09,LaGrange County,111,112,,101,110,98
2020-03-09,Lake County,105,103,104,106,100,100
2020-03-09,LaPorte County,110,105,112,116,102,99
2020-03-09,Lawrence County,113,107,,,102,100
2020-03-09,Madison County,109,115,,108,102,100
2020-03-09,Marion County,105,104,129,97,100,100
2020-03-09,Marshall County,113,108,,107,102,99
2020-03-09,Martin County,114,111,,,104,
2020-03-09,Miami County,114,108,,,100,100
2020-03-09,Monroe County,104,113,,102,101,100
2020-03-09,Montgomery County,110,101,,,101,100
2020-03-09,Morgan County,110,118,,,100,100
2020-03-09,Newton County,103,,,,101,
2020-03-09,Noble County,112,117,,,107,100
2020-03-09,Orange County,106,111,,,105,
2020-03-09,Owen County,110,120,,,100,
2020-03-09,Parke County,,107,,,101,
2020-03-09,Perry County,111,113,,,101,
2020-03-09,Pike County,,,,,107,
2020-03-09,Porter County,105,102,117,104,101,100
2020-03-09,Posey County,111,104,,,105,
2020-03-09,Pulaski County,110,,,,105,
2020-03-09,Putnam County,116,115,,,106,101
2020-03-09,Randolph County,131,110,,,105,100
2020-03-09,Ripley County,115,107,,,103,100
2020-03-09,Rush County,112,116,,,104,
2020-03-09,Scott County,116,114,,,101,99
2020-03-09,Shelby County,109,112,,105,100,100
2020-03-09,Spencer County,113,117,,,103,
2020-03-09,St. Joseph County,111,105,101,103,100,101
2020-03-09,Starke County,109,103,,,108,
2020-03-09,Steuben County,110,115,,103,105,100
2020-03-09,Sullivan County,112,100,,,105,
2020-03-09,Switzerland County,,104,,,109,
2020-03-09,Tippecanoe County,101,105,112,105,102,101
2020-03-09,Tipton County,102,109,,,110,
2020-03-09,Union County,,,,,108,
2020-03-09,Vanderburgh County,109,113,,,101,100
2020-03-09,Vermillion County,109,,,112,102,
2020-03-09,Vigo County,109,110,94,109,103,101
2020-03-09,Wabash County,108,102,,,104,101
2020-03-09,Warren County,,,,,105,
2020-03-09,Warrick County,107,113,,,101,101
2020-03-09,Washington County,112,109,,,105,99
2020-03-09,Wayne County,110,99,,110,100,101
2020-03-09,Wells County,117,111,,,102,100
2020-03-09,White County,109,134,,,102,101
2020-03-09,Whitley County,109,108,,,103,100
2020-03-10,,106,106,115,105,100,100
2020-03-10,Adams County,108,101,,,102,100
2020-03-10,Allen County,103,104,95,103,100,101
2020-03-10,Bartholomew County,108,107,,112,100,100
2020-03-10,Benton County,,,,,99,
2020-03-10,Blackford County,112,99,,,103,
2020-03-10,Boone County,107,108,,108,98,102
2020-03-10,Brown County,159,104,,,104,
2020-03-10,Carroll County,116,,,,101,
2020-03-10,Cass County,109,108,,,100,100
2020-03-10,Clark County,108,120,142,101,101,101
2020-03-10,Clay County,108,98,,111,99,99
2020-03-10,Clinton County,105,106,,,98,100
2020-03-10,Crawford County,,,,99,98,
2020-03-10,Daviess County,109,114,,,102,102
2020-03-10,Dearborn County,108,103,,,99,101
2020-03-10,Decatur County,108,108,,108,89,103
2020-03-10,DeKalb County,100,112,,,102,100
2020-03-10,Delaware County,108,107,,112,101,100
2020-03-10,Dubois County,109,106,,,100,101
2020-03-10,Elkhart County,113,99,,106,103,99
2020-03-10,Fayette County,111,104,,,100,100
2020-03-10,Floyd County,106,114,,,99,101
2020-03-10,Fountain County,119,94,,,103,
2020-03-10,Franklin County,116,108,,,99,
2020-03-10,Fulton County,110,120,,,99,
2020-03-10,Gibson County,114,105,,106,107,99
2020-03-10,Grant County,109,105,,116,102,100
2020-03-10,Greene County,107,103,,,101,100
2020-03-10,Hamilton County,105,106,113,,97,101
2020-03-10,Hancock County,109,137,,114,99,102
2020-03-10,Harrison County,115,103,,,98,103
2020-03-10,Hendricks County,105,113,,112,93,103
2020-03-10,Henry County,107,104,,97,101,100
2020-03-10,Howard County,105,107,,,100,100
2020-03-10,Huntington County,106,107,,,101,101
2020-03-10,Jackson County,109,107,,123,99,100
2020-03-10,Jasper County,108,102,,109,100,100
2020-03-10,Jay County,109,91,,,98,
2020-03-10,Jefferson County,102,106,,,101,101
2020-03-10,Jennings County,114,112,,,102,100
2020-03-10,Johnson County,109,115,,106,99,101
2020-03-10,Knox County,110,112,,,101,100
2020-03-10,Kosciusko County,107,114,,,100,100
2020-03-10,LaGrange County,104,106,,112,106,100
2020-03-10,Lake County,109,106,117,111,100,100
2020-03-10,LaPorte County,107,107,112,108,100,100
2020-03-10,Lawrence County,111,104,,,102,101
2020-03-10,Madison County,105,114,,104,99,101
2020-03-10,Marion County,107,104,106,97,100,100
2020-03-10,Marshall County,113,108,,108,101,100
2020-03-10,Martin County,107,106,,,107,
2020-03-10,Miami County,114,104,,,99,101
2020-03-10,Monroe County,105,111,,107,100,100
2020-03-10,Montgomery County,106,98,,,100,100
2020-03-10,Morgan County,106,106,,,99,101
2020-03-10,Newton County,101,,,,99,
2020-03-10,Noble County,105,115,,,103,101
2020-03-10,Ohio County,,,,,102,
2020-03-10,Orange County,101,132,,,100,
2020-03-10,Owen County,103,110,,,101,
2020-03-10,Parke County,,105,,,96,
2020-03-10,Perry County,108,108,,,98,
2020-03-10,Pike County,,98,,,105,
2020-03-10,Porter County,108,103,129,104,101,100
2020-03-10,Posey County,111,80,,,103,
2020-03-10,Pulaski County,105,98,,,106,
2020-03-10,Putnam County,112,103,,,103,100
2020-03-10,Randolph County,113,102,,,103,101
2020-03-10,Ripley County,105,109,,,102,101
2020-03-10,Rush County,119,123,,,101,
2020-03-10,Scott County,116,106,,,99,101
2020-03-10,Shelby County,104,107,,104,100,101
2020-03-10,Spencer County,111,109,,,102,
2020-03-10,St. Joseph County,110,106,119,104,99,100
2020-03-10,Starke County,105,108,,,101,
2020-03-10,Steuben County,110,113,,108,104,100
2020-03-10,Sullivan County,119,101,,,102,
2020-03-10,Switzerland County,,106,,,100,
2020-03-10,Tippecanoe County,105,107,98,104,101,101
2020-03-10,Tipton County,102,108,,,98,
2020-03-10,Union County,,,,,108,
2020-03-10,Vanderburgh County,109,118,,,99,100
2020-03-10,Vermillion County,113,,,111,102,
2020-03-10,Vigo County,108,109,,106,100,101
2020-03-10,Wabash County,106,104,,,102,101
2020-03-10,Warren County,,,,,105,
2020-03-10,Warrick County,109,102,,,103,101
2020-03-10,Washington County,109,108,,,101,101
2020-03-10,Wayne County,105,103,,108,98,100
2020-03-10,Wells County,111,104,,,100,101
2020-03-10,White County,105,123,,,102,100
2020-03-10,Whitley County,109,105,,,101,100
2020-03-11,,108,109,122,106,100,100
2020-03-11,Adams County,108,107,,,102,99
2020-03-11,Allen County,106,105,115,108,100,100
2020-03-11,Bartholomew County,111,112,,111,100,100
2020-03-11,Benton County,,,,,99,
2020-03-11,Blackford County,100,113,,,100,
2020-03-11,Boone County,104,112,,107,99,101
2020-03-11,Brown County,123,98,,,104,
2020-03-11,Carroll County,118,115,,,100,
2020-03-11,Cass County,110,111,,,100,99
2020-03-11,Clark County,112,124,170,103,102,100
2020-03-11,Clay County,112,102,,117,98,99
2020-03-11,Clinton County,114,113,,,101,100
2020-03-11,Crawford County,,,,106,105,
2020-03-11,Daviess County,113,118,,,103,100
2020-03-11,Dearborn County,114,125,,,102,100
2020-03-11,Decatur County,110,112,,110,90,101
2020-03-11,DeKalb County,104,116,,,101,100
2020-03-11,Delaware County,107,111,,112,101,100
2020-03-11,Dubois County,111,117,,,99,101
2020-03-11,Elkhart County,112,101,129,110,102,99
2020-03-11,Fayette County,116,110,,,101,100
2020-03-11,Floyd County,108,119,,,100,100
2020-03-11,Fountain County,127,105,,,100,
2020-03-11,Franklin County,115,117,,,102,
2020-03-11,Fulton County,108,107,,,100,
2020-03-11,Gibson County,124,117,,102,107,98
2020-03-11,Grant County,109,107,,102,104,99
2020-03-11,Greene County,113,107,,,101,100
2020-03-11,Hamilton County,105,108,105,,96,101
2020-03-11,Hancock County,103,136,,102,102,100
2020-03-11,Harrison County,106,109,,,106,100
2020-03-11,Hendricks County,105,114,,112,94,102
2020-03-11,Henry County,112,105,,100,97,100
2020-03-11,Howard County,107,120,,,98,100
2020-03-11,Huntington County,109,103,,,101,99
2020-03-11,Jackson County,110,115,,105,101,100
2020-03-11,Jasper County,105,104,,105,101,99
2020-03-11,Jay County,105,111,,,101,
2020-03-11,Jefferson County,110,112,,,102,100
2020-03-11,Jennings County,112,112,,,102,99
2020-03-11,Johnson County,107,126,,107,99,100
2020-03-11,Knox County,111,116,,,103,100
2020-03-11,Kosciusko County,107,108,,,98,100
2020-03-11,LaGrange County,97,105,,110,104,101
2020-03-11,Lake County,108,106,120,103,100,100
2020-03-11,LaPorte County,113,106,135,119,101,99
2020-03-11,Lawrence County,113,111,,,104,100
2020-03-11,Madison County,110,114,,102,100,100
2020-03-11,Marion County,106,107,109,101,99,100
2020-03-11,Marshall County,110,107,,109,100,100
2020-03-11,Martin County,104,,,,101,
2020-03-11,Miami County,122,111,,,99,101
2020-03-11,Monroe County,105,113,,110,100,100
2020-03-11,Montgomery County,116,110,,,102,100
2020-03-11,Morgan County,110,113,,,99,100
2020-03-11,Newton County,103,,,,100,
2020-03-11,Noble County,107,118,,,103,100
2020-03-11,Ohio County,,,,,102,
2020-03-11,Orange County,110,110,,,103,
2020-03-11,Owen County,119,106,,,102,
2020-03-11,Parke County,,100,,,104,
2020-03-11,Perry County,114,120,,,100,
2020-03-11,Pike County,,,,,104,
2020-03-11,Porter County,103,105,138,105,100,100
2020-03-11,Posey County,110,100,,,107,
2020-03-11,Pulaski County,108,,,,105,
2020-03-11,Putnam County,116,127,,,104,100
2020-03-11,Randolph County,109,99,,,100,99
2020-03-11,Ripley County,102,118,,,102,100
2020-03-11,Rush County,111,106,,,104,
2020-03-11,Scott County,112,114,,,99,101
2020-03-11,Shelby County,108,118,,102,103,100
2020-03-11,Spencer County,102,132,,,105,
2020-03-11,St. Joseph County,111,108,131,110,99,100
2020-03-11,Starke County,106,114,,,103,
2020-03-11,Steuben County,107,124,,106,104,100
2020-03-11,Sullivan County,116,115,,,102,
2020-03-11,Switzerland County,,96,,,103,
2020-03-11,Tippecanoe County,108,113,,102,100,100
2020-03-11,Tipton County,111,118,,,101,
2020-03-11,Union County,,,,,110,
2020-03-11,Vanderburgh County,111,125,,,101,99
2020-03-11,Vermillion County,114,,,113,100,
2020-03-11,Vigo County,109,117,,104,101,100
2020-03-11,Wabash County,110,105,,,102,99
2020-03-11,Warren County,,,,,102,
2020-03-11,Warrick County,117,115,,,103,100
2020-03-11,Washington County,117,115,,,103,100
2020-03-11,Wayne County,108,105,,108,99,100
2020-03-11,Wells County,115,111,,,105,99
2020-03-11,White County,111,133,,98,103,100
2020-03-11,Whitley County,109,109,,,99,100
2020-03-12,,107,123,132,105,99,101
2020-03-12,Adams County,108,105,,,100,100
2020-03-12,Allen County,105,118,138,103,100,100
2020-03-12,Bartholomew County,106,124,,112,90,103
2020-03-12,Benton County,,,,,93,
2020-03-12,Blackford County,138,119,,,107,
2020-03-12,Boone County,110,133,,110,97,103
2020-03-12,Brown County,93,,,,101,
2020-03-12,Carroll County,111,,,,98,
2020-03-12,Cass County,115,125,,,102,100
2020-03-12,Clark County,102,132,119,101,101,102
2020-03-12,Clay County,118,109,,115,100,100
2020-03-12,Clinton County,118,126,,,98,100
2020-03-12,Crawford County,,,,106,95,
2020-03-12,Daviess County,106,116,,,104,101
2020-03-12,Dearborn County,110,127,,,98,101
2020-03-12,Decatur County,118,128,,121,90,101
2020-03-12,DeKalb County,106,126,,,102,100
2020-03-12,Delaware County,110,133,,115,100,100
2020-03-12,Dubois County,100,119,,,100,102
2020-03-12,Elkhart County,114,107,,97,104,99
2020-03-12,Fayette County,115,128,,,100,100
2020-03-12,Floyd County,99,124,,,97,103
2020-03-12,Fountain County,109,135,,,102,
2020-03-12,Franklin County,116,129,,,102,
2020-03-12,Fulton County,114,143,,,101,
2020-03-12,Gibson County,112,128,,104,105,99
2020-03-12,Grant County,115,127,,112,103,100
2020-03-12,Greene County,114,113,,,100,101
2020-03-12,Hamilton County,106,130,130,,95,102
2020-03-12,Hancock County,109,158,,103,100,101
2020-03-12,Harrison County,101,118,,,102,102
2020-03-12,Hendricks County,108,127,,108,92,103
2020-03-12,Henry County,119,130,,97,100,100
2020-03-12,Howard County,104,123,,,99,100
2020-03-12,Huntington County,112,123,,,100,100
2020-03-12,Jackson County,108,118,,105,98,101
2020-03-12,Jasper County,114,117,,103,100,99
2020-03-12,Jay County,113,121,,,102,
2020-03-12,Jefferson County,105,122,,,100,102
2020-03-12,Jennings County,108,124,,,102,102
2020-03-12,Johnson County,109,141,,105,98,101
2020-03-12,Knox County,105,118,,,98,101
2020-03-12,Kosciusko County,108,123,,,98,100
2020-03-12,LaGrange County,104,112,,114,107,100
2020-03-12,Lake County,111,124,149,106,101,100
2020-03-12,LaPorte County,114,122,146,107,101,99
2020-03-12,Lawrence County,104,111,,,101,102
2020-03-12,Madison County,110,121,,101,98,100
2020-03-12,Marion County,106,121,113,95,98,100
2020-03-12,Marshall County,119,119,,110,100,98
2020-03-12,Martin County,111,,,,101,
2020-03-12,Miami County,117,125,,,100,100
2020-03-12,Monroe County,105,127,,125,96,101
2020-03-12,Montgomery County,113,121,,,101,100
2020-03-12,Morgan County,108,125,,,99,101
2020-03-12,Newton County,119,,,,96,
2020-03-12,Noble County,110,119,,,103,100
2020-03-12,Ohio County,,,,,108,
2020-03-12,Orange County,108,112,,,106,
2020-03-12,Owen County,114,136,,,102,
2020-03-12,Parke County,,119,,,100,
2020-03-12,Perry County,103,120,,,97,
2020-03-12,Pike County,,,,,103,
2020-03-12,Porter County,111,126,176,106,101,99
2020-03-12,Posey County,107,143,,,103,
2020-03-12,Pulaski County,115,,,,100,
2020-03-12,Putnam County,113,126,,,101,101
2020-03-12,Randolph County,121,156,,,100,100
2020-03-12,Ripley County,114,137,,,99,100
2020-03-12,Rush County,103,131,,,99,
2020-03-12,Scott County,108,119,,,96,103
2020-03-12,Shelby County,112,123,,96,102,100
2020-03-12,Spencer County,103,138,,,104,
2020-03-12,St. Joseph County,110,123,163,105,99,101
2020-03-12,Starke County,117,125,,,101,
2020-03-12,Steuben County,115,119,,101,102,100
2020-03-12,Sullivan County,115,127,,,106,
2020-03-12,Switzerland County,,,,,109,
2020-03-12,Tippecanoe County,108,125,,106,101,100
2020-03-12,Tipton County,106,116,,,102,
2020-03-12,Union County,,,,,99,
2020-03-12,Vanderburgh County,101,130,,,98,101
2020-03-12,Vermillion County,130,,,119,102,
2020-03-12,Vigo County,109,125,,106,100,100
2020-03-12,Wabash County,112,122,,,99,100
2020-03-12,Warren County,,,,,100,
2020-03-12,Warrick County,109,121,,,102,101
2020-03-12,Washington County,102,114,,,100,103
