date,sub_region_2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-16,Marion County,108,99,157,100,100,99
2020-02-16,Marshall County,106,106,,105,104,
2020-02-16,Martin County,88,100,,,,
2020-02-16,Miami County,101,104,,,98,
2020-02-16,Monroe County,109,105,137,109,101,99
2020-02-16,Montgomery County,110,105,,,99,
2020-02-16,Morgan County,106,111,,,101,99
2020-02-16,Newton County,110,,,,,
2020-02-16,Noble County,108,110,,,101,
2020-02-16,Orange County,122,106,,,98,
2020-02-16,Owen County,118,101,,,100,
2020-02-16,Parke County,,108,,,,
2020-02-16,Perry County,111,,,,98,
2020-02-16,Porter County,116,107,147,111,103,99
2020-02-16,Posey County,121,,,,102,
2020-02-16,Pulaski County,110,,,,,
2020-02-16,Putnam County,106,103,,,106,
2020-02-16,Randolph County,105,109,,,111,
2020-02-16,Ripley County,125,105,,,101,
2020-02-16,Rush County,111,108,,,102,
2020-02-16,Scott County,114,105,,,107,
2020-02-16,Shelby County,113,100,,99,99,
2020-02-16,Spencer County,107,117,,,102,
2020-02-16,St. Joseph County,112,102,139,109,102,98
2020-02-16,Starke County,112,103,,,108,
2020-02-16,Steuben County,110,98,,113,97,
2020-02-16,Sullivan County,107,96,,,102,
2020-02-16,Tippecanoe County,107,103,119,118,105,99
2020-02-16,Tipton County,105,96,,,,
2020-02-16,Vanderburgh County,112,100,151,,101,99
2020-02-16,Vermillion County,123,104,,,91,
2020-02-16,Vigo County,110,104,,94,101,98
2020-02-16,Wabash County,110,98,,,103,
2020-02-16,Warrick County,104,101,,,105,
2020-02-16,Washington County,107,104,,,109,
2020-02-16,Wayne County,105,94,,100,97,100
2020-02-16,Wells County,106,117,,,105,
2020-02-16,White County,104,115,,,104,
2020-02-16,Whitley County,117,110,,,98,
2020-02-17,,105,97,96,102,87,104
2020-02-17,Adams County,103,90,,,95,103
2020-02-17,Allen County,103,100,85,103,94,103
2020-02-17,Bartholomew County,105,101,,125,97,101
2020-02-17,Benton County,,,,,89,
2020-02-17,Blackford County,111,97,,,93,
2020-02-17,Boone County,104,94,,108,79,105
2020-02-17,Brown County,119,88,,,87,
2020-02-17,Carroll County,105,123,,,92,
2020-02-17,Cass County,102,89,,,89,104
2020-02-17,Clark County,105,102,158,107,91,103
2020-02-17,Clay County,105,85,,118,85,
2020-02-17,Clinton County,96,92,,,96,103
2020-02-17,Crawford County,,,,103,86,
2020-02-17,Daviess County,96,97,,,86,105
2020-02-17,Dearborn County,106,104,,,93,103
2020-02-17,Decatur County,109,101,,103,93,104
2020-02-17,DeKalb County,97,104,,,100,102
2020-02-17,Delaware County,100,94,,105,85,104
2020-02-17,Dubois County,111,92,,,89,103
2020-02-17,Elkhart County,105,94,83,112,90,103
2020-02-17,Fayette County,94,98,,,99,102
2020-02-17,Floyd County,109,104,,,94,102
2020-02-17,Fountain County,100,97,,,86,
2020-02-17,Franklin County,100,103,,,91,
2020-02-17,Fulton County,101,107,,,92,
2020-02-17,Gibson County,104,92,,100,92,103
2020-02-17,Grant County,100,94,,108,93,104
2020-02-17,Greene County,102,93,,,83,106
2020-02-17,Hamilton County,111,99,103,,77,105
2020-02-17,Hancock County,105,113,,106,84,104
2020-02-17,Harrison County,105,103,,,88,104
2020-02-17,Hendricks County,111,102,,108,82,105
2020-02-17,Henry County,103,101,,98,92,102
2020-02-17,Howard County,101,96,,,92,102
2020-02-17,Huntington County,102,104,,,99,101
2020-02-17,Jackson County,104,102,,,94,102
2020-02-17,Jasper County,102,94,,104,81,103
2020-02-17,Jay County,97,95,,,87,
2020-02-17,Jefferson County,101,98,,,97,103
2020-02-17,Jennings County,106,94,,,99,103
2020-02-17,Johnson County,113,100,82,99,82,105
2020-02-17,Knox County,111,100,,,86,105
2020-02-17,Kosciusko County,100,100,,,97,101
2020-02-17,LaGrange County,104,95,,124,95,101
2020-02-17,Lake County,106,98,92,106,80,105
2020-02-17,LaPorte County,105,100,88,116,91,103
2020-02-17,Lawrence County,102,95,,,91,104
2020-02-17,Madison County,106,97,,108,87,104
2020-02-17,Marion County,105,94,94,93,85,105
2020-02-17,Marshall County,103,94,,98,84,104
2020-02-17,Martin County,61,100,,,85,
2020-02-17,Miami County,92,99,,,91,103
2020-02-17,Monroe County,103,104,,97,87,104
2020-02-17,Montgomery County,102,89,,,84,104
2020-02-17,Morgan County,102,107,,,83,104
2020-02-17,Newton County,90,,,,85,
2020-02-17,Noble County,101,107,,,97,102
2020-02-17,Ohio County,,,,,98,
2020-02-17,Orange County,98,107,,,92,
2020-02-17,Owen County,87,102,,,96,
2020-02-17,Parke County,,93,,,93,
2020-02-17,Perry County,100,103,,,88,
2020-02-17,Pike County,,,,,88,
2020-02-17,Porter County,107,95,88,102,84,104
2020-02-17,Posey County,104,101,,,84,
