date,driving,transit,walking
2020.07.26,123.40, 57.91,134.03
2020.07.27,133.09, 59.83,122.22
2020.07.28,147.54, 65.64,130.87
2020.07.29,143.80, 62.62,139.66
2020.07.30,138.76, 52.90,128.80
2020.07.31,161.44, 60.64,177.89
2020.08.01,147.98, 55.61,180.77
2020.08.02,115.95, 49.83,128.00
2020.08.03,136.66, 62.67,132.27
2020.08.04,140.12, 64.49,141.56
2020.08.05,139.68, 61.79,142.60
2020.08.06,145.28, 58.74,141.99
2020.08.07,167.84, 64.09,181.12
2020.08.08,157.20, 61.20,182.37
2020.08.09,116.90, 51.35,120.42
2020.08.10,128.40, 55.02,122.20
2020.08.11,136.76, 60.96,137.62
2020.08.12,139.76, 59.59,135.46
2020.08.13,145.95, 58.31,141.73
2020.08.14,169.63, 67.94,185.35
2020.08.15,165.73, 61.09,207.42
2020.08.16,120.30, 51.03,132.94
