,date,county,state,country,combined_key,lat,long,fips,cases,deaths
137,1/23/20,LaGrange,Indiana,US,"LaGrange, Indiana, US",41.64232188,-85.42674232,18087,0,0
138,1/23/20,LaPorte,Indiana,US,"LaPorte, Indiana, US",41.54366008,-86.74072188,18091,0,0
139,1/23/20,Lake,Indiana,US,"Lake, Indiana, US",41.41874274,-87.38277575,18089,0,0
140,1/23/20,Lawrence,Indiana,US,"Lawrence, Indiana, US",38.84112637,-86.48361629,18093,0,0
141,1/23/20,Madison,Indiana,US,"Madison, Indiana, US",40.16143691,-85.71964711,18095,0,0
142,1/23/20,Marion,Indiana,US,"Marion, Indiana, US",39.78163624,-86.13826325,18097,0,0
143,1/23/20,Marshall,Indiana,US,"Marshall, Indiana, US",41.32467367,-86.26185087,18099,0,0
144,1/23/20,Martin,Indiana,US,"Martin, Indiana, US",38.7099921,-86.80373186,18101,0,0
145,1/23/20,Miami,Indiana,US,"Miami, Indiana, US",40.76940965,-86.04525048,18103,0,0
146,1/23/20,Monroe,Indiana,US,"Monroe, Indiana, US",39.16130004,-86.52414358,18105,0,0
147,1/23/20,Montgomery,Indiana,US,"Montgomery, Indiana, US",40.04034823,-86.89335024,18107,0,0
148,1/23/20,Morgan,Indiana,US,"Morgan, Indiana, US",39.47899078,-86.44573375,18109,0,0
149,1/23/20,Newton,Indiana,US,"Newton, Indiana, US",40.95610449,-87.39635768,18111,0,0
150,1/23/20,Noble,Indiana,US,"Noble, Indiana, US",41.39672484,-85.41966713,18113,0,0
151,1/23/20,Ohio,Indiana,US,"Ohio, Indiana, US",38.955304999999996,-84.96515993,18115,0,0
152,1/23/20,Orange,Indiana,US,"Orange, Indiana, US",38.541189200000005,-86.49523093,18117,0,0
153,1/23/20,Owen,Indiana,US,"Owen, Indiana, US",39.31145587,-86.83900724,18119,0,0
154,1/23/20,Parke,Indiana,US,"Parke, Indiana, US",39.77202286,-87.20375833,18121,0,0
155,1/23/20,Perry,Indiana,US,"Perry, Indiana, US",38.07809328,-86.63741946,18123,0,0
156,1/23/20,Pike,Indiana,US,"Pike, Indiana, US",38.40112197,-87.23574907,18125,0,0
157,1/23/20,Porter,Indiana,US,"Porter, Indiana, US",41.45986947,-87.06848888,18127,0,0
158,1/23/20,Posey,Indiana,US,"Posey, Indiana, US",38.02097333,-87.86480429,18129,0,0
159,1/23/20,Pulaski,Indiana,US,"Pulaski, Indiana, US",41.04166107,-86.69890683,18131,0,0
160,1/23/20,Putnam,Indiana,US,"Putnam, Indiana, US",39.66437981,-86.84517605,18133,0,0
161,1/23/20,Randolph,Indiana,US,"Randolph, Indiana, US",40.15734772,-85.01139319,18135,0,0
162,1/23/20,Ripley,Indiana,US,"Ripley, Indiana, US",39.10235626,-85.26212744,18137,0,0
163,1/23/20,Rush,Indiana,US,"Rush, Indiana, US",39.62002287,-85.4655599,18139,0,0
164,1/23/20,Scott,Indiana,US,"Scott, Indiana, US",38.68672078,-85.74627859,18143,0,0
165,1/23/20,Shelby,Indiana,US,"Shelby, Indiana, US",39.52305623,-85.79158570000001,18145,0,0
166,1/23/20,Spencer,Indiana,US,"Spencer, Indiana, US",38.01519732,-87.0079644,18147,0,0
167,1/23/20,St. Joseph,Indiana,US,"St. Joseph, Indiana, US",41.61756781,-86.29040834,18141,0,0
168,1/23/20,Starke,Indiana,US,"Starke, Indiana, US",41.27890281,-86.64686895,18149,0,0
169,1/23/20,Steuben,Indiana,US,"Steuben, Indiana, US",41.64423868,-85.00101094,18151,0,0
170,1/23/20,Sullivan,Indiana,US,"Sullivan, Indiana, US",39.08952258,-87.41414469,18153,0,0
171,1/23/20,Switzerland,Indiana,US,"Switzerland, Indiana, US",38.82767338,-85.03022429,18155,0,0
172,1/23/20,Tippecanoe,Indiana,US,"Tippecanoe, Indiana, US",40.38872739,-86.89413959,18157,0,0
173,1/23/20,Tipton,Indiana,US,"Tipton, Indiana, US",40.31123252,-86.05234925,18159,0,0
174,1/23/20,Union,Indiana,US,"Union, Indiana, US",39.62550777,-84.92497066,18161,0,0
175,1/23/20,Vanderburgh,Indiana,US,"Vanderburgh, Indiana, US",38.02658833,-87.58763124,18163,0,0
176,1/23/20,Vermillion,Indiana,US,"Vermillion, Indiana, US",39.8523352,-87.46160542,18165,0,0
177,1/23/20,Vigo,Indiana,US,"Vigo, Indiana, US",39.42944561,-87.39169027,18167,0,0
178,1/23/20,Wabash,Indiana,US,"Wabash, Indiana, US",40.84704239,-85.79328272,18169,0,0
179,1/23/20,Warren,Indiana,US,"Warren, Indiana, US",40.34728141,-87.35602659,18171,0,0
180,1/23/20,Warrick,Indiana,US,"Warrick, Indiana, US",38.08922676,-87.2716085,18173,0,0
181,1/23/20,Washington,Indiana,US,"Washington, Indiana, US",38.60219804,-86.1049363,18175,0,0
182,1/23/20,Wayne,Indiana,US,"Wayne, Indiana, US",39.863344399999995,-85.01044989,18177,0,0
183,1/23/20,Wells,Indiana,US,"Wells, Indiana, US",40.72934187,-85.22132966,18179,0,0
184,1/23/20,White,Indiana,US,"White, Indiana, US",40.74911165,-86.86492015,18181,0,0
185,1/23/20,Whitley,Indiana,US,"Whitley, Indiana, US",41.13863784,-85.50791236,18183,0,0
186,1/23/20,Out of IN,Indiana,US,"Out of IN, Indiana, US",0.0,0.0,80018,0,0
187,1/23/20,Unassigned,Indiana,US,"Unassigned, Indiana, US",0.0,0.0,90018,0,0
188,1/24/20,Adams,Indiana,US,"Adams, Indiana, US",40.7457653,-84.93671406,18001,0,0
189,1/24/20,Allen,Indiana,US,"Allen, Indiana, US",41.09194313,-85.06800636,18003,0,0
190,1/24/20,Bartholomew,Indiana,US,"Bartholomew, Indiana, US",39.20744865,-85.89558181,18005,0,0
191,1/24/20,Benton,Indiana,US,"Benton, Indiana, US",40.60626947,-87.31093999,18007,0,0
192,1/24/20,Blackford,Indiana,US,"Blackford, Indiana, US",40.47388153,-85.32499702,18009,0,0
193,1/24/20,Boone,Indiana,US,"Boone, Indiana, US",40.0509304,-86.46841646,18011,0,0
194,1/24/20,Brown,Indiana,US,"Brown, Indiana, US",39.19605589,-86.22868909,18013,0,0
195,1/24/20,Carroll,Indiana,US,"Carroll,Indiana,US",40.580783200000006,-86.56198812,18015,0,0
196,1/24/20,Cass,Indiana,US,"Cass, Indiana, US",40.76135835,-86.34830753,18017,0,0
197,1/24/20,Clark,Indiana,US,"Clark, Indiana, US",38.48015445,-85.70510334,18019,0,0
198,1/24/20,Clay,Indiana,US,"Clay, Indiana, US",39.39561833,-87.11723506,18021,0,0
199,1/24/20,Clinton,Indiana,US,"Clinton, Indiana, US",40.30319754,-86.47277257,18023,0,0
200,1/24/20,Crawford,Indiana,US,"Crawford, Indiana, US",38.28814402,-86.44518825,18025,0,0
201,1/24/20,Daviess,Indiana,US,"Daviess, Indiana, US",38.70186039,-87.07185406,18027,0,0
202,1/24/20,DeKalb,Indiana,US,"DeKalb, Indiana, US",41.39804622,-84.99906934,18033,0,0
203,1/24/20,Dearborn,Indiana,US,"Dearborn, Indiana, US",39.14647946,-84.97333539,18029,0,0
204,1/24/20,Decatur,Indiana,US,"Decatur, Indiana, US",39.30712658,-85.50087166,18031,0,0
205,1/24/20,Delaware,Indiana,US,"Delaware, Indiana, US",40.22787247,-85.39732772,18035,0,0
206,1/24/20,Dubois,Indiana,US,"Dubois, Indiana, US",38.36597551,-86.87924170000001,18037,0,0
207,1/24/20,Elkhart,Indiana,US,"Elkhart, Indiana, US",41.59761169,-85.85875695,18039,0,0
208,1/24/20,Fayette,Indiana,US,"Fayette, Indiana, US",39.63684962,-85.17797541,18041,0,0
209,1/24/20,Floyd,Indiana,US,"Floyd, Indiana, US",38.32117957,-85.90385377,18043,0,0
210,1/24/20,Fountain,Indiana,US,"Fountain, Indiana, US",40.12361933,-87.24217689,18045,0,0
211,1/24/20,Franklin,Indiana,US,"Franklin, Indiana, US",39.4142482,-85.06062647,18047,0,0
212,1/24/20,Fulton,Indiana,US,"Fulton, Indiana, US",41.0469907,-86.26252745,18049,0,0
213,1/24/20,Gibson,Indiana,US,"Gibson, Indiana, US",38.30393723,-87.58054938,18051,0,0
214,1/24/20,Grant,Indiana,US,"Grant, Indiana, US",40.51587228,-85.65468702,18053,0,0
215,1/24/20,Greene,Indiana,US,"Greene, Indiana, US",39.03630547,-86.96223202,18055,0,0
216,1/24/20,Hamilton,Indiana,US,"Hamilton, Indiana, US",40.07306535,-86.05244729,18057,0,0
217,1/24/20,Hancock,Indiana,US,"Hancock, Indiana, US",39.82304555,-85.77566351,18059,0,0
218,1/24/20,Harrison,Indiana,US,"Harrison, Indiana, US",38.19467379,-86.10948271,18061,0,0
219,1/24/20,Hendricks,Indiana,US,"Hendricks, Indiana, US",39.76719009,-86.51037283,18063,0,0
220,1/24/20,Henry,Indiana,US,"Henry, Indiana, US",39.93029017,-85.39625719,18065,0,0
221,1/24/20,Howard,Indiana,US,"Howard, Indiana, US",40.48527731,-86.11351892,18067,0,0
222,1/24/20,Huntington,Indiana,US,"Huntington, Indiana, US",40.82907273,-85.48822092,18069,0,0
223,1/24/20,Jackson,Indiana,US,"Jackson, Indiana, US",38.90915820000001,-86.03851889,18071,0,0
224,1/24/20,Jasper,Indiana,US,"Jasper, Indiana, US",41.02078733,-87.11553319,18073,0,0
225,1/24/20,Jay,Indiana,US,"Jay, Indiana, US",40.43781032,-85.00576229,18075,0,0
226,1/24/20,Jefferson,Indiana,US,"Jefferson, Indiana, US",38.78576239,-85.43633383,18077,0,0
227,1/24/20,Jennings,Indiana,US,"Jennings, Indiana, US",38.99588883,-85.62710784,18079,0,0
228,1/24/20,Johnson,Indiana,US,"Johnson, Indiana, US",39.48994426,-86.10149107,18081,0,0
229,1/24/20,Knox,Indiana,US,"Knox, Indiana, US",38.68861576,-87.4194665,18083,0,0
230,1/24/20,Kosciusko,Indiana,US,"Kosciusko, Indiana, US",41.24521668,-85.86312322,18085,0,0
231,1/24/20,LaGrange,Indiana,US,"LaGrange, Indiana, US",41.64232188,-85.42674232,18087,0,0
232,1/24/20,LaPorte,Indiana,US,"LaPorte, Indiana, US",41.54366008,-86.74072188,18091,0,0
233,1/24/20,Lake,Indiana,US,"Lake, Indiana, US",41.41874274,-87.38277575,18089,0,0
234,1/24/20,Lawrence,Indiana,US,"Lawrence, Indiana, US",38.84112637,-86.48361629,18093,0,0
235,1/24/20,Madison,Indiana,US,"Madison, Indiana, US",40.16143691,-85.71964711,18095,0,0
236,1/24/20,Marion,Indiana,US,"Marion, Indiana, US",39.78163624,-86.13826325,18097,0,0
237,1/24/20,Marshall,Indiana,US,"Marshall, Indiana, US",41.32467367,-86.26185087,18099,0,0
238,1/24/20,Martin,Indiana,US,"Martin, Indiana, US",38.7099921,-86.80373186,18101,0,0
239,1/24/20,Miami,Indiana,US,"Miami, Indiana, US",40.76940965,-86.04525048,18103,0,0
240,1/24/20,Monroe,Indiana,US,"Monroe, Indiana, US",39.16130004,-86.52414358,18105,0,0
241,1/24/20,Montgomery,Indiana,US,"Montgomery, Indiana, US",40.04034823,-86.89335024,18107,0,0
242,1/24/20,Morgan,Indiana,US,"Morgan, Indiana, US",39.47899078,-86.44573375,18109,0,0
243,1/24/20,Newton,Indiana,US,"Newton, Indiana, US",40.95610449,-87.39635768,18111,0,0
244,1/24/20,Noble,Indiana,US,"Noble, Indiana, US",41.39672484,-85.41966713,18113,0,0
245,1/24/20,Ohio,Indiana,US,"Ohio, Indiana, US",38.955304999999996,-84.96515993,18115,0,0
246,1/24/20,Orange,Indiana,US,"Orange, Indiana, US",38.541189200000005,-86.49523093,18117,0,0
247,1/24/20,Owen,Indiana,US,"Owen, Indiana, US",39.31145587,-86.83900724,18119,0,0
248,1/24/20,Parke,Indiana,US,"Parke, Indiana, US",39.77202286,-87.20375833,18121,0,0
249,1/24/20,Perry,Indiana,US,"Perry, Indiana, US",38.07809328,-86.63741946,18123,0,0
250,1/24/20,Pike,Indiana,US,"Pike, Indiana, US",38.40112197,-87.23574907,18125,0,0
251,1/24/20,Porter,Indiana,US,"Porter, Indiana, US",41.45986947,-87.06848888,18127,0,0
252,1/24/20,Posey,Indiana,US,"Posey, Indiana, US",38.02097333,-87.86480429,18129,0,0
253,1/24/20,Pulaski,Indiana,US,"Pulaski, Indiana, US",41.04166107,-86.69890683,18131,0,0
254,1/24/20,Putnam,Indiana,US,"Putnam, Indiana, US",39.66437981,-86.84517605,18133,0,0
255,1/24/20,Randolph,Indiana,US,"Randolph, Indiana, US",40.15734772,-85.01139319,18135,0,0
256,1/24/20,Ripley,Indiana,US,"Ripley, Indiana, US",39.10235626,-85.26212744,18137,0,0
257,1/24/20,Rush,Indiana,US,"Rush, Indiana, US",39.62002287,-85.4655599,18139,0,0
258,1/24/20,Scott,Indiana,US,"Scott, Indiana, US",38.68672078,-85.74627859,18143,0,0
259,1/24/20,Shelby,Indiana,US,"Shelby, Indiana, US",39.52305623,-85.79158570000001,18145,0,0
260,1/24/20,Spencer,Indiana,US,"Spencer, Indiana, US",38.01519732,-87.0079644,18147,0,0
261,1/24/20,St. Joseph,Indiana,US,"St. Joseph, Indiana, US",41.61756781,-86.29040834,18141,0,0
262,1/24/20,Starke,Indiana,US,"Starke, Indiana, US",41.27890281,-86.64686895,18149,0,0
