County,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Switzerland,11840,9914,9311,8432,8167,7599,7092,6306,7153,7738,9065,10613
Tippecanoe,38659,40063,42813,47535,51020,74473,89122,109378,121702,130598,148955,172780
Tipton,19116,17459,16152,15208,15135,15566,15856,16650,16819,16119,16577,15936
Union,6748,6260,6021,5880,6017,6412,6457,6582,6860,6976,7349,7516
Vanderburgh,71769,77438,92293,113320,130783,160422,165794,168772,167515,165058,171922,179703
Vermillion,15252,18865,27625,23238,21787,19723,17683,16793,18229,16773,16788,16212
Vigo,62035,87930,100212,98861,99709,105160,108458,114528,112385,106107,105848,107848
Wabash,28235,26926,27231,25170,26601,29047,32605,35553,36640,35069,34960,32888
Warren,11371,10899,9699,9167,9055,8535,8545,8705,8976,8176,8419,8508
Warrick,22329,21911,19862,18230,19435,21527,23577,27972,41474,44920,52383,59689
Washington,19409,17445,16645,16285,17008,16520,17819,19278,21932,23717,27223,28262
Wayne,38970,43757,48136,54809,59229,68566,74039,79109,76058,71951,71097,68917
Wells,23449,22418,20509,18411,19099,19564,21220,23821,25401,25948,27600,27636
White,19138,17602,17351,15831,17037,18042,19709,20995,23867,23265,25267,24643
Whitley,17328,16892,15660,15931,17001,18828,20954,23395,26215,27651,30707,33292
